Date,Home,HxG,HScore,AScore,AxG,Away
3/4/2021,Sassuolo,3.2,2,2,2.1,Roma
3/4/2021,Cagliari,2,0,2,1.3,Hellas Verona
3/4/2021,Atalanta,2.8,3,2,0.7,Udinese
3/4/2021,Benevento,1,2,2,1.8,Parma
3/4/2021,Lazio,2.3,2,1,0.7,Spezia
3/4/2021,Napoli,2.8,4,3,1.2,Crotone
3/4/2021,Genoa,0.7,1,1,0.7,Fiorentina
3/4/2021,Torino,0.8,2,2,2.2,Juventus
3/4/2021,Bologna,0.8,0,1,1.6,Inter
7/4/2021,Juventus,1.4,2,1,1.5,Napoli
7/4/2021,Inter,1,2,1,0.7,Sassuolo
10/4/2021,Spezia,1.5,3,2,1.7,Crotone
10/4/2021,Parma,1.1,1,3,1.2,Milan
10/4/2021,Udinese,1.6,0,1,1.5,Torino
11/4/2021,Inter,1.3,1,0,0.5,Cagliari
11/4/2021,Juventus,2.5,3,1,1.1,Genoa
11/4/2021,Sampdoria,1.1,0,2,1.7,Napoli
11/4/2021,Hellas Verona,0.2,0,1,0.7,Lazio
11/4/2021,Roma,1.6,1,0,1.4,Bologna
11/4/2021,Fiorentina,1.3,2,3,2.5,Atalanta
12/4/2021,Benevento,0.7,0,1,1.8,Sassuolo
17/4/2021,Sampdoria,1.8,3,1,1.5,Hellas Verona
17/4/2021,Crotone,1.1,1,2,0.9,Udinese
17/4/2021,Sassuolo,2.1,3,1,0.7,Fiorentina
17/4/2021,Cagliari,1.6,4,3,1.3,Parma
18/4/2021,Milan,1.2,2,1,1,Genoa
18/4/2021,Bologna,3.5,4,1,0.6,Spezia
18/4/2021,Atalanta,,,,,Juventus
18/4/2021,Lazio,,,,,Benevento
18/4/2021,Torino,,,,,Roma
18/4/2021,Napoli,,,,,Inter
20/4/2021,Hellas Verona,,,,,Fiorentina
21/4/2021,Milan,,,,,Sassuolo
21/4/2021,Juventus,,,,,Parma
21/4/2021,Genoa,,,,,Benevento
21/4/2021,Spezia,,,,,Inter
21/4/2021,Udinese,,,,,Cagliari
21/4/2021,Bologna,,,,,Torino
21/4/2021,Crotone,,,,,Sampdoria
22/4/2021,Roma,,,,,Atalanta
22/4/2021,Napoli,,,,,Lazio
24/4/2021,Genoa,,,,,Spezia
24/4/2021,Parma,,,,,Crotone
24/4/2021,Sassuolo,,,,,Sampdoria
25/4/2021,Benevento,,,,,Udinese
25/4/2021,Fiorentina,,,,,Juventus
25/4/2021,Inter,,,,,Hellas Verona
25/4/2021,Cagliari,,,,,Roma
25/4/2021,Atalanta,,,,,Bologna
26/4/2021,Torino,,,,,Napoli
26/4/2021,Lazio,,,,,Milan
1/5/2021,Hellas Verona,,,,,Spezia
1/5/2021,Crotone,,,,,Inter
1/5/2021,Milan,,,,,Benevento
2/5/2021,Lazio,,,,,Genoa
2/5/2021,Napoli,,,,,Cagliari
2/5/2021,Sassuolo,,,,,Atalanta
2/5/2021,Bologna,,,,,Fiorentina
2/5/2021,Udinese,,,,,Juventus
2/5/2021,Sampdoria,,,,,Roma
3/5/2021,Torino,,,,,Parma
9/5/2021,Spezia,,,,,Napoli
9/5/2021,Udinese,,,,,Bologna
9/5/2021,Fiorentina,,,,,Lazio
9/5/2021,Parma,,,,,Atalanta
9/5/2021,Benevento,,,,,Cagliari
9/5/2021,Roma,,,,,Crotone
9/5/2021,Hellas Verona,,,,,Torino
9/5/2021,Genoa,,,,,Sassuolo
9/5/2021,Inter,,,,,Sampdoria
9/5/2021,Juventus,,,,,Milan
12/5/2021,Atalanta,,,,,Benevento
12/5/2021,Sampdoria,,,,,Spezia
12/5/2021,Crotone,,,,,Hellas Verona
12/5/2021,Torino,,,,,Milan
12/5/2021,Cagliari,,,,,Fiorentina
12/5/2021,Lazio,,,,,Parma
12/5/2021,Sassuolo,,,,,Juventus
12/5/2021,Napoli,,,,,Udinese
12/5/2021,Bologna,,,,,Genoa
12/5/2021,Inter,,,,,Roma
16/5/2021,Fiorentina,,,,,Napoli
16/5/2021,Genoa,,,,,Atalanta
16/5/2021,Roma,,,,,Lazio
16/5/2021,Spezia,,,,,Torino
16/5/2021,Parma,,,,,Sassuolo
16/5/2021,Udinese,,,,,Sampdoria
16/5/2021,Milan,,,,,Cagliari
16/5/2021,Hellas Verona,,,,,Bologna
16/5/2021,Benevento,,,,,Crotone
16/5/2021,Juventus,,,,,Inter
23/5/2021,Sassuolo,,,,,Lazio
23/5/2021,Torino,,,,,Benevento
23/5/2021,Napoli,,,,,Hellas Verona
23/5/2021,Crotone,,,,,Fiorentina
23/5/2021,Inter,,,,,Udinese
23/5/2021,Cagliari,,,,,Genoa
23/5/2021,Sampdoria,,,,,Parma
23/5/2021,Atalanta,,,,,Milan
23/5/2021,Spezia,,,,,Roma
23/5/2021,Bologna,,,,,Juventus
23/5/2021,Lazio,,,,,Torino
